,term,frequency
0,objects,1985
1,quantification,1671
2,about,1408
3,meaning,1366
4,object,1287
5,time,1017
6,translation,676
7,attributes,545
8,ideas,444
9,paradox,438
10,observation_sentences,422
11,construction,377
12,application,357
13,description,350
14,information,275
15,parts,272
16,truth_functions,267
17,reduction,217
18,reality,207
19,ordered_pair,191
20,ambiguity,188
21,conditionals,141
22,propositional_attitudes,138
23,nominalism,123
24,prediction,113
25,dispositions,112
26,pronouns,111
27,mentalistic,98
28,conditioning,91
29,utterances,84
30,adjectives,71
31,memory,55
32,confirmation,49
33,posit,47
34,subtraction,42
35,meaninglessness,40
36,nouns,38
37,intension,37
38,logical_particles,33
39,relative_terms,29
40,mental_states,23
41,transparency,18
42,truth_vehicles,14
43,intensional_abstraction,9
44,sense_datum,7
